@RELATION dados

@ATTRIBUTE A1	REAL
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	REAL
@ATTRIBUTE A4	REAL
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	REAL
@ATTRIBUTE A7	REAL
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	REAL
@ATTRIBUTE A10	REAL
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	REAL
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	REAL
@ATTRIBUTE A15	REAL
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	REAL
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	REAL
@ATTRIBUTE A20	REAL
@ATTRIBUTE A21	REAL
@ATTRIBUTE A22	REAL
@ATTRIBUTE A23	REAL
@ATTRIBUTE A24	REAL
@ATTRIBUTE A25	REAL
@ATTRIBUTE A26	REAL
@ATTRIBUTE A27	REAL
@ATTRIBUTE A28	REAL
@ATTRIBUTE A29	REAL
@ATTRIBUTE A30	REAL
@ATTRIBUTE A31	REAL
@ATTRIBUTE A32	REAL
@ATTRIBUTE A33	REAL
@ATTRIBUTE A34	REAL
@ATTRIBUTE A35	REAL
@ATTRIBUTE A36	REAL
@ATTRIBUTE A37	REAL
@ATTRIBUTE A38	REAL
@ATTRIBUTE A39	REAL
@ATTRIBUTE A40	REAL
@ATTRIBUTE A41	REAL
@ATTRIBUTE A42	REAL
@ATTRIBUTE A43	REAL
@ATTRIBUTE A44	REAL
@ATTRIBUTE A45	REAL
@ATTRIBUTE A46	REAL
@ATTRIBUTE A47	REAL
@ATTRIBUTE A48	REAL
@ATTRIBUTE A49	REAL
@ATTRIBUTE A50	REAL
@ATTRIBUTE A51	REAL
@ATTRIBUTE A52	REAL
@ATTRIBUTE A53	REAL
@ATTRIBUTE A54	REAL
@ATTRIBUTE A55	REAL
@ATTRIBUTE A56	REAL
@ATTRIBUTE A57	REAL
@ATTRIBUTE A58	REAL
@ATTRIBUTE A59	REAL
@ATTRIBUTE A60	REAL
@ATTRIBUTE A61	REAL
@ATTRIBUTE A62	REAL
@ATTRIBUTE A63	REAL
@ATTRIBUTE A64	REAL
@ATTRIBUTE A65	REAL
@ATTRIBUTE A66	REAL
@ATTRIBUTE A67	REAL
@ATTRIBUTE A68	REAL
@ATTRIBUTE A69	REAL
@ATTRIBUTE A70	REAL
@ATTRIBUTE A71	REAL
@ATTRIBUTE A72	REAL
@ATTRIBUTE A73	REAL
@ATTRIBUTE A74	REAL
@ATTRIBUTE A75	REAL
@ATTRIBUTE A76	REAL
@ATTRIBUTE class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}

@DATA
0.019139, 0.038278, 0.057416, 0.081340, 0.105263, 0.124402, 0.143541, 0.167464, 0.191388, 0.210526, 0.229665, 0.253589, 0.272727, 0.301435, 0.330144, 0.349282, 0.377990, 0.406699, 0.435407, 0.464115, 0.492823, 0.521531, 0.559809, 0.598086, 0.665072, 0.842105, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.016849, 0.035072, 0.052883, 0.071702, 0.093267, 0.111902, 0.132231, 0.152286, 0.172981, 0.192670, 0.213090, 0.235068, 0.256908, 0.277466, 0.299123, 0.322245, 0.346604, 0.369222, 0.394542, 0.420595, 0.450035, 0.477828, 0.509329, 0.543623, 0.583869, 0.636112, 0.699206, 0.743939, 0.784185, 0.818434, 0.851125, 0.878185, 0.901811, 0.921545, 0.938715, 0.953641, 0.966599, 0.977130, 1
0.017192, 0.040115, 0.057307, 0.080229, 0.097421, 0.120344, 0.137536, 0.157593, 0.177650, 0.194842, 0.217765, 0.234957, 0.252149, 0.272206, 0.292264, 0.315186, 0.335244, 0.358166, 0.383954, 0.406877, 0.432665, 0.458453, 0.484241, 0.515759, 0.553009, 0.584527, 0.633238, 0.690544, 0.767908, 0.977077, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.014975, 0.033235, 0.052167, 0.070919, 0.089408, 0.107602, 0.126042, 0.145089, 0.163808, 0.182823, 0.202429, 0.221345, 0.241033, 0.260720, 0.280884, 0.301574, 0.322772, 0.344168, 0.366319, 0.389258, 0.412312, 0.436959, 0.461983, 0.488682, 0.516580, 0.546679, 0.578534, 0.614478, 0.656136, 0.716464, 0.770585, 0.814410, 0.848844, 0.878696, 0.904295, 0.927283, 0.947989, 0.970107, 1
0.020690, 0.041379, 0.062069, 0.082759, 0.103448, 0.124138, 0.144828, 0.165517, 0.186207, 0.206897, 0.227586, 0.248276, 0.268966, 0.293103, 0.313793, 0.341379, 0.368966, 0.396552, 0.424138, 0.455172, 0.489655, 0.527586, 0.562069, 0.603448, 0.651724, 0.717241, 0.837931, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.015291, 0.034958, 0.055054, 0.074269, 0.092794, 0.113199, 0.132556, 0.152366, 0.172438, 0.191795, 0.212937, 0.233793, 0.255315, 0.275981, 0.297646, 0.319905, 0.343092, 0.366516, 0.391344, 0.416694, 0.443853, 0.472176, 0.502331, 0.534721, 0.570059, 0.609180, 0.656480, 0.723329, 0.773270, 0.811391, 0.842378, 0.871748, 0.896528, 0.918597, 0.938169, 0.955172, 0.969322, 0.981308, 1
0.017192, 0.034384, 0.057307, 0.074499, 0.097421, 0.114613, 0.137536, 0.154728, 0.174785, 0.194842, 0.212034, 0.232092, 0.252149, 0.269341, 0.292264, 0.318052, 0.338109, 0.361032, 0.381089, 0.409742, 0.435530, 0.461318, 0.498567, 0.524355, 0.584527, 0.638968, 0.713467, 0.776504, 0.839542, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.015304, 0.032611, 0.052118, 0.069490, 0.088653, 0.106994, 0.125352, 0.143940, 0.162412, 0.181641, 0.199966, 0.219965, 0.239456, 0.259555, 0.279538, 0.300507, 0.321442, 0.342953, 0.365744, 0.388519, 0.412197, 0.436860, 0.463182, 0.489651, 0.519651, 0.551621, 0.585759, 0.623410, 0.665216, 0.730125, 0.777268, 0.810601, 0.839977, 0.865937, 0.889993, 0.914065, 0.938186, 0.957857, 1
0.017595, 0.041056, 0.058651, 0.082111, 0.099707, 0.120235, 0.140762, 0.161290, 0.181818, 0.199413, 0.219941, 0.240469, 0.258065, 0.275660, 0.299120, 0.322581, 0.346041, 0.372434, 0.398827, 0.428152, 0.457478, 0.489736, 0.513196, 0.551320, 0.586510, 0.645161, 0.712610, 0.785924, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.015325, 0.033488, 0.053268, 0.071964, 0.091107, 0.109614, 0.128568, 0.147539, 0.166872, 0.186118, 0.206345, 0.225609, 0.245887, 0.266200, 0.286788, 0.308270, 0.330131, 0.352371, 0.375470, 0.399446, 0.423973, 0.450185, 0.477103, 0.506274, 0.537027, 0.570962, 0.607477, 0.652196, 0.716781, 0.770874, 0.807595, 0.839036, 0.868672, 0.893577, 0.914784, 0.934512, 0.952142, 0.968619, 1
0.015038, 0.037594, 0.060150, 0.075188, 0.097744, 0.120301, 0.142857, 0.157895, 0.180451, 0.203008, 0.221805, 0.240602, 0.259398, 0.281955, 0.304511, 0.327068, 0.353383, 0.375940, 0.402256, 0.428571, 0.458647, 0.492481, 0.526316, 0.571429, 0.616541, 0.687970, 0.766917, 0.924812, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.014020, 0.034541, 0.052971, 0.071061, 0.090876, 0.110125, 0.128696, 0.146984, 0.167138, 0.187150, 0.207134, 0.226581, 0.247188, 0.268528, 0.288795, 0.309712, 0.332777, 0.355956, 0.379162, 0.403415, 0.429250, 0.456216, 0.483295, 0.512692, 0.546611, 0.583329, 0.624767, 0.682175, 0.739273, 0.779043, 0.814178, 0.844253, 0.870965, 0.895302, 0.916954, 0.936401, 0.954689, 0.971932, 1
0.017045, 0.034091, 0.056818, 0.073864, 0.096591, 0.113636, 0.136364, 0.153409, 0.173295, 0.190341, 0.210227, 0.227273, 0.247159, 0.267045, 0.289773, 0.312500, 0.332386, 0.357955, 0.383523, 0.411932, 0.443182, 0.474432, 0.502841, 0.534091, 0.573864, 0.627841, 0.670455, 0.727273, 0.778409, 0.846591, 0.997159, 0.997159, 0.997159, 0.997159, 0.997159, 0.997159, 0.997159, 0.997159, 0.015141, 0.032396, 0.051669, 0.068827, 0.087955, 0.105759, 0.124903, 0.142820, 0.161690, 0.180091, 0.199525, 0.218363, 0.238152, 0.258071, 0.277893, 0.298715, 0.319457, 0.341200, 0.362829, 0.385508, 0.409172, 0.433723, 0.458871, 0.485424, 0.513381, 0.542549, 0.574009, 0.608019, 0.645613, 0.690422, 0.761122, 0.806737, 0.839811, 0.868204, 0.891884, 0.913707, 0.934207, 0.954303, 1
0.014286, 0.035714, 0.057143, 0.078571, 0.100000, 0.114286, 0.135714, 0.157143, 0.178571, 0.196429, 0.214286, 0.235714, 0.253571, 0.275000, 0.296429, 0.321429, 0.346429, 0.367857, 0.392857, 0.417857, 0.442857, 0.471429, 0.500000, 0.539286, 0.589286, 0.625000, 0.689286, 0.750000, 0.900000, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.013163, 0.032526, 0.051378, 0.070485, 0.088444, 0.105918, 0.125612, 0.144745, 0.163444, 0.182602, 0.201199, 0.220740, 0.240536, 0.260842, 0.281250, 0.301709, 0.322832, 0.344796, 0.367755, 0.390714, 0.415077, 0.439617, 0.465663, 0.493240, 0.522143, 0.553367, 0.587653, 0.625255, 0.676046, 0.738010, 0.781097, 0.817219, 0.848367, 0.875765, 0.901071, 0.923750, 0.944617, 0.962934, 1
0.016713, 0.038997, 0.055710, 0.077994, 0.094708, 0.116992, 0.133705, 0.155989, 0.175487, 0.194986, 0.211699, 0.231198, 0.250696, 0.272981, 0.292479, 0.314763, 0.334262, 0.359331, 0.387187, 0.415042, 0.442897, 0.470752, 0.501393, 0.534819, 0.559889, 0.612813, 0.651811, 0.701950, 0.754875, 0.830084, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.014649, 0.033550, 0.051319, 0.069770, 0.087647, 0.106424, 0.123882, 0.143186, 0.161948, 0.180430, 0.199719, 0.218450, 0.238173, 0.257261, 0.277869, 0.298182, 0.319007, 0.340392, 0.362536, 0.385177, 0.408035, 0.432585, 0.457321, 0.483236, 0.510750, 0.539785, 0.570945, 0.604201, 0.643151, 0.688278, 0.752012, 0.798861, 0.837346, 0.868615, 0.895136, 0.918630, 0.939316, 0.958745, 1
0.019544, 0.039088, 0.058632, 0.078176, 0.097720, 0.117264, 0.140065, 0.159609, 0.182410, 0.201954, 0.218241, 0.237785, 0.257329, 0.283388, 0.309446, 0.335505, 0.361564, 0.390879, 0.420195, 0.449511, 0.482085, 0.511401, 0.540717, 0.570033, 0.622150, 0.697068, 0.794788, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.014663, 0.033825, 0.052563, 0.071682, 0.090378, 0.108839, 0.128086, 0.147694, 0.167302, 0.187249, 0.206580, 0.226634, 0.246772, 0.267589, 0.288385, 0.310306, 0.332417, 0.354868, 0.378550, 0.402445, 0.428164, 0.454286, 0.482233, 0.512621, 0.547210, 0.583115, 0.626129, 0.691572, 0.735477, 0.774353, 0.810131, 0.841134, 0.867723, 0.891956, 0.912031, 0.929644, 0.945665, 0.961029, 1
0.017964, 0.038922, 0.061377, 0.086826, 0.115269, 0.143713, 0.182635, 0.244012, 0.296407, 0.351796, 0.408683, 0.488024, 0.559880, 0.630240, 0.708084, 0.778443, 0.827844, 0.853293, 0.875749, 0.899701, 0.919162, 0.941617, 0.964072, 0.986527, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.998503, 0.016162, 0.034104, 0.052297, 0.071426, 0.091900, 0.114212, 0.138415, 0.165468, 0.197860, 0.246701, 0.292346, 0.331659, 0.370074, 0.408427, 0.447954, 0.488387, 0.528506, 0.567083, 0.605167, 0.642606, 0.679152, 0.714932, 0.751053, 0.787914, 0.826872, 0.863813, 0.897186, 0.922362, 0.942657, 0.952858, 0.960993, 0.968240, 0.974775, 0.980463, 0.985492, 0.989664, 0.993084, 0.995643, 2
0.016949, 0.037288, 0.061017, 0.086441, 0.111864, 0.140678, 0.172881, 0.252542, 0.289831, 0.333898, 0.415254, 0.488136, 0.559322, 0.625424, 0.700000, 0.761017, 0.830508, 0.871186, 0.896610, 0.916949, 0.937288, 0.959322, 0.984746, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.998305, 0.015438, 0.032359, 0.050078, 0.069101, 0.088934, 0.109980, 0.133295, 0.160333, 0.196817, 0.248296, 0.290261, 0.329537, 0.368164, 0.407262, 0.447630, 0.487073, 0.526228, 0.565205, 0.603217, 0.642166, 0.678558, 0.714898, 0.750779, 0.787021, 0.822201, 0.856110, 0.887038, 0.915800, 0.940052, 0.955088, 0.962608, 0.969417, 0.975731, 0.981132, 0.985705, 0.989716, 0.992945, 0.995432, 2
0.017857, 0.040584, 0.061688, 0.089286, 0.116883, 0.144481, 0.173701, 0.232143, 0.285714, 0.347403, 0.396104, 0.470779, 0.548701, 0.620130, 0.694805, 0.772727, 0.824675, 0.853896, 0.878247, 0.902597, 0.923701, 0.944805, 0.964286, 0.996753, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.998377, 0.015306, 0.033480, 0.050725, 0.070506, 0.090429, 0.111386, 0.134877, 0.161067, 0.191848, 0.237862, 0.282320, 0.322557, 0.361665, 0.400326, 0.439988, 0.480509, 0.521030, 0.559448, 0.598652, 0.636216, 0.672363, 0.708767, 0.744076, 0.781550, 0.819436, 0.854971, 0.888904, 0.919432, 0.942323, 0.951499, 0.959837, 0.967048, 0.973778, 0.979650, 0.984641, 0.988963, 0.992458, 0.995161, 2
0.017572, 0.038339, 0.060703, 0.083067, 0.108626, 0.140575, 0.178914, 0.226837, 0.284345, 0.337061, 0.396166, 0.472843, 0.549521, 0.613419, 0.685304, 0.758786, 0.814696, 0.849840, 0.875399, 0.897764, 0.920128, 0.940895, 0.961661, 0.984026, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.998403, 0.015250, 0.033434, 0.050991, 0.069374, 0.089396, 0.110918, 0.134461, 0.161439, 0.196965, 0.243225, 0.285003, 0.324230, 0.362559, 0.400290, 0.439598, 0.480264, 0.519562, 0.558922, 0.597735, 0.636921, 0.672779, 0.709536, 0.745940, 0.781967, 0.819458, 0.853505, 0.885377, 0.914407, 0.944988, 0.955266, 0.962896, 0.969914, 0.976191, 0.981443, 0.986184, 0.990135, 0.993284, 0.995667, 2
