@RELATION dados

@ATTRIBUTE A1	REAL
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	REAL
@ATTRIBUTE A4	REAL
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	REAL
@ATTRIBUTE A7	REAL
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	REAL
@ATTRIBUTE A10	REAL
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	REAL
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	REAL
@ATTRIBUTE A15	REAL
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	REAL
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	REAL
@ATTRIBUTE A20	REAL
@ATTRIBUTE A21	REAL
@ATTRIBUTE A22	REAL
@ATTRIBUTE A23	REAL
@ATTRIBUTE A24	REAL
@ATTRIBUTE A25	REAL
@ATTRIBUTE A26	REAL
@ATTRIBUTE A27	REAL
@ATTRIBUTE A28	REAL
@ATTRIBUTE A29	REAL
@ATTRIBUTE A30	REAL
@ATTRIBUTE A31	REAL
@ATTRIBUTE A32	REAL
@ATTRIBUTE A33	REAL
@ATTRIBUTE A34	REAL
@ATTRIBUTE A35	REAL
@ATTRIBUTE A36	REAL
@ATTRIBUTE A37	REAL
@ATTRIBUTE A38	REAL
@ATTRIBUTE class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}

@DATA
0.019139, 0.038278, 0.057416, 0.081340, 0.105263, 0.124402, 0.143541, 0.167464, 0.191388, 0.210526, 0.229665, 0.253589, 0.272727, 0.301435, 0.330144, 0.349282, 0.377990, 0.406699, 0.435407, 0.464115, 0.492823, 0.521531, 0.559809, 0.598086, 0.665072, 0.842105, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 0.995215, 1
0.017192, 0.040115, 0.057307, 0.080229, 0.097421, 0.120344, 0.137536, 0.157593, 0.177650, 0.194842, 0.217765, 0.234957, 0.252149, 0.272206, 0.292264, 0.315186, 0.335244, 0.358166, 0.383954, 0.406877, 0.432665, 0.458453, 0.484241, 0.515759, 0.553009, 0.584527, 0.633238, 0.690544, 0.767908, 0.977077, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 1
0.020690, 0.041379, 0.062069, 0.082759, 0.103448, 0.124138, 0.144828, 0.165517, 0.186207, 0.206897, 0.227586, 0.248276, 0.268966, 0.293103, 0.313793, 0.341379, 0.368966, 0.396552, 0.424138, 0.455172, 0.489655, 0.527586, 0.562069, 0.603448, 0.651724, 0.717241, 0.837931, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 0.996552, 1
0.017192, 0.034384, 0.057307, 0.074499, 0.097421, 0.114613, 0.137536, 0.154728, 0.174785, 0.194842, 0.212034, 0.232092, 0.252149, 0.269341, 0.292264, 0.318052, 0.338109, 0.361032, 0.381089, 0.409742, 0.435530, 0.461318, 0.498567, 0.524355, 0.584527, 0.638968, 0.713467, 0.776504, 0.839542, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 0.997135, 1
0.017595, 0.041056, 0.058651, 0.082111, 0.099707, 0.120235, 0.140762, 0.161290, 0.181818, 0.199413, 0.219941, 0.240469, 0.258065, 0.275660, 0.299120, 0.322581, 0.346041, 0.372434, 0.398827, 0.428152, 0.457478, 0.489736, 0.513196, 0.551320, 0.586510, 0.645161, 0.712610, 0.785924, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 0.997067, 1
0.015038, 0.037594, 0.060150, 0.075188, 0.097744, 0.120301, 0.142857, 0.157895, 0.180451, 0.203008, 0.221805, 0.240602, 0.259398, 0.281955, 0.304511, 0.327068, 0.353383, 0.375940, 0.402256, 0.428571, 0.458647, 0.492481, 0.526316, 0.571429, 0.616541, 0.687970, 0.766917, 0.924812, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 0.996241, 1
0.017045, 0.034091, 0.056818, 0.073864, 0.096591, 0.113636, 0.136364, 0.153409, 0.173295, 0.190341, 0.210227, 0.227273, 0.247159, 0.267045, 0.289773, 0.312500, 0.332386, 0.357955, 0.383523, 0.411932, 0.443182, 0.474432, 0.502841, 0.534091, 0.573864, 0.627841, 0.670455, 0.727273, 0.778409, 0.846591, 0.997159, 0.997159, 0.997159, 0.997159, 0.997159, 0.997159, 0.997159, 0.997159, 1
0.014286, 0.035714, 0.057143, 0.078571, 0.100000, 0.114286, 0.135714, 0.157143, 0.178571, 0.196429, 0.214286, 0.235714, 0.253571, 0.275000, 0.296429, 0.321429, 0.346429, 0.367857, 0.392857, 0.417857, 0.442857, 0.471429, 0.500000, 0.539286, 0.589286, 0.625000, 0.689286, 0.750000, 0.900000, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 0.996429, 1
0.016713, 0.038997, 0.055710, 0.077994, 0.094708, 0.116992, 0.133705, 0.155989, 0.175487, 0.194986, 0.211699, 0.231198, 0.250696, 0.272981, 0.292479, 0.314763, 0.334262, 0.359331, 0.387187, 0.415042, 0.442897, 0.470752, 0.501393, 0.534819, 0.559889, 0.612813, 0.651811, 0.701950, 0.754875, 0.830084, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 1
0.019544, 0.039088, 0.058632, 0.078176, 0.097720, 0.117264, 0.140065, 0.159609, 0.182410, 0.201954, 0.218241, 0.237785, 0.257329, 0.283388, 0.309446, 0.335505, 0.361564, 0.390879, 0.420195, 0.449511, 0.482085, 0.511401, 0.540717, 0.570033, 0.622150, 0.697068, 0.794788, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 0.996743, 1
